%netflow_Facts(StartDate,StartHour,StartMin,StartSec,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label).
%------------------------------------------------------------------------------------------------------------------------------------------------------------------------
netflow_Facts('2011/08/10', 09,46,53.107669,0.000000,tcp,"199.59.148.20",443,   "?>","147.32.84.184",51855,a_,0,null,1,60,60,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.112416,1288.713379,udp,"77.100.246.74",6430,  "<->","147.32.84.229",13363,con,0,0,18,1244,704,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.118569,2292.730469,udp,"58.72.174.152",1769,  "<->","147.32.84.229",13363,con,0,0,16,3828,548,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.120880,273.880157,tcp,"83.137.254.245",49455,  "<?>","147.32.84.229",13363,pa_pa,0,0,121,14096,10430,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.125002,3572.482422,tcp,"147.32.84.59",49238,  "<?>","74.125.232.215",443,pa_pa,0,0,1332,627474,282534,"flow=Background-Established-cmpgw-CVUT").
netflow_Facts('2011/08/10', 09,46,53.127875,0.000368,udp,"147.32.84.138",42315,  "<->","147.32.80.9",53,con,0,0,2,214,81,"flow=To-Background-UDP-CVUT-DNS-Server").
netflow_Facts('2011/08/10', 09,46,53.128036,0.000225,udp,"147.32.84.138",42626,  "<->","147.32.80.9",53,con,0,0,2,214,81,"flow=To-Background-UDP-CVUT-DNS-Server").
netflow_Facts('2011/08/10', 09,46,53.131650,3133.970947,udp,"186.204.215.229",12677,  "<->","147.32.84.229",13363,con,0,0,10,1218,908,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.132734,619.352722,udp,"147.32.84.229",13363,   "->","31.9.113.254",23320,int_,0,null,4,568,568,"flow=Background-UDP-Attempt").
netflow_Facts('2011/08/10', 09,46,53.136258,0.000227,udp,"147.32.84.138",58276,  "<->","147.32.80.9",53,con,0,0,2,214,81,"flow=To-Background-UDP-CVUT-DNS-Server").
netflow_Facts('2011/08/10', 09,46,53.136265,0.000272,udp,"147.32.84.138",58867,  "<->","147.32.80.9",53,con,0,0,2,214,81,"flow=To-Background-UDP-CVUT-DNS-Server").
netflow_Facts('2011/08/10', 09,46,53.137179,536.390381,tcp,"109.183.212.236",61775,  "<?>","147.32.84.130",20,fpa_fa,0,0,23574,10855048,10056796,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.138034,12.067851,tcp,"178.236.4.29",80,   "?>","147.32.86.141",2019,fa_,0,null,3,180,180,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.140460,3144.869629,udp,"212.59.9.106",15036,  "<->","147.32.84.229",13363,con,0,0,4,266,146,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.144083,0.000162,udp,"147.32.84.138",33302,  "<->","147.32.80.9",53,con,0,0,2,214,81,"flow=To-Background-UDP-CVUT-DNS-Server").
